from ,to,position,year
neilson,am,NA,1990
renta,annette,NA,1989
dolce,bellucci,NA,1992
gabbana,bellucci,NA,1992
hilfiger,beyonce,NA,NA
delevingne,bu,NA,2014
jacobs,buendchen,NA,2014
moss,bv,NA,2022
delevingne,c,NA,NA
giabiconi,c,NA,2008
kroenig,c,NA,2005
schiffer,c,NA,1990
larson,ca,NA,2008
herrera,cameron,NA,2023
evangelista,ck,NA,1989
mara,ck,NA,2013
moss,ck,NA,1992
shields,ck,NA,1980
jacobs,coppola,NA,2014
kahlo,d,NA,2024
seymour,dec,NA,1978
bailey,delevingne,NA,2014
bellucci,dg,NA,1992
ford,doillon,NA,NA
mugler,ellis,NA,1990
klein,evangelista,NA,1989
doillon,g,NA,2006
versace,gaga,NA,2016
kolibius,gal,NA,2020
moss,gal,NA,2011
lagerfeld,giabiconi,NA,NA
hilfiger,hadid,NA,2018
cameron,he,NA,2023
abloh,hill,NA,NA
cavalli,jenner,NA,2019
gaultier,jp,NA,1971
madonna,jpg,NA,1985
armani,kolibius,NA,2020
lagerfeld,kroenig,NA,NA
owens,lamy,NA,2006
audigier,larson,NA,2008
buendchen,lv,NA,2014
hill,lv,NA,2021
ellis,m,NA,1990
gaultier,madonna,NA,1990
costa,mara,NA,2013
blazy,moss,NA,2023
galliano,moss,NA,2011
klein,moss,NA,1992
queen,neilson,NA,NA
lamy,o,NA,2006
annette,or,NA,1989
jenner,rc,NA,2019
lagerfeld,schiffer,NA,NA
emanuel,seymour,NA,1978
klein,shields,NA,1980
westwood,stockbridge,NA,1985
hadid,th,NA,2018
zendaya,th,NA,2019
williams,towley,NA,2017
gaga,v,NA,2016
stockbridge,v,NA,1985
hilfiger,zendaya,NA,2019
